A,Strategic Planning for Setting up Base Stations in Emergency Medical Systems," Ghosh, S.; and Varakantham, P ", ,,A Formal Analysis of Required Cooperation in Multi-agent Planning," Zhang, Y.; Sreedharan, S.; and Kambhampati, S ",
,,,,,,,
,Domain Model Acquisition (Session 4a),,,,Learning for Robot Control (Session 4b),,
,Domain Model Acquisition in Domains with Action Costs," Gregory, P.; and Lindsay, A ", ,R,Experience-Based Robot Task Learning and Planning with Goal Inference," Mokhtari, V.; Lopes, L. S.; and Pinho, A. J ",
,Learning Relational Dynamics of Stochastic Domains for Planning," Mart&#237;nez, D.; Ribeiro, T.; Inoue, K.; Alenya, G.; and Torras, C ", ,R,Real-Time Stochastic Optimal Control for Multi-agent Quadrotor Systems," G&#243;mez, V.; Thijssen, S.; Symington, A.; Hailes, S.; and Kappen, B ",
,,,,,,,
,,,,,,,
,,,,,,,
,Thursday,,,,,,
,,, ,,,,
,Planning under Uncertainty and with Incomplete Knowledge (Session 5a),,, ,Motion Planning (Session 5b),,
Short,Heuristic Guidance for Forward-Chaining Planning with Numeric Uncertainty," Marinescu, L.; and Coles, A ", ,Short R,Task and Motion Policy Synthesis as Liveness Games,"Wang, Y.; Dantam, N.; Chaudhuri, S.; and Kavraki, L.",
Short,From FOND to Robust Probabilistic Planning: Computing compact policies that bypass avoidable deadends," Camacho, A.; Muise, C.; and McIlraith, S ", ,Short R,Strict Theta*: Shorter Motion Path Planning using Taut Paths," Oh, S.; and Leong, H. W ",
Short J,Robust Allocation of RF Device Capacity for Distributed Spectrum Functions,"Stephen F. Smith, Zachary B. Rubinstein, David Shur, John Chapin ", ,Short J,Robot task planning and explanation in open and uncertain worlds,"Marc Hanheide, Moritz Gobelbecker, Graham Horn, Andrzej Pronobis, Kristoffer Sjoo, Alper Aydemir, Patric Jensfelt, Charles Gretton, Richard Dearden, Miroslav Janicek, Geert-Jan Kruijff, Nick Hawes, Jeremy Wyatt",
,Generalized Planning With Procedural Domain Control Knowledge," Segovia, J.; Jimenez, S.; and Jonsson, A ", ,R,Robot Motion Planning for Pouring Liquids," Pan, Z.; Park, C.; and Manocha, D ",
,,, ,,,,
,Hybrid Planning (Session 6a),, ,,Business and Manufacturing Applications (Session 6b),,
,A Semantic Notion of Interference for Planning Modulo Theories," Bofill, M.; Arxer, J. E.; and Villaret, M ", ,A,Cell Design and Routing of Jobs in a Multisite Make-to-Order Enterprise," Gupta, M.; P, J. C. B. R; and Dutta, P ",
,Numeric Planning with Disjunctive Global Constraints via SMT," Scala, E.; Ram&#237;rez, M.; Haslum, P.; and Thiebaux, S ", ,A,A Planning-based Architecture for a Reconfigurable Manufacturing System," Borgo, S.; Cesta, A.; Orlandini, A.; and Umbrico, A ",
,A Compilation of the Full PDDL+ Language into SMT," Cashmore, M.; Fox, M.; Long, D.; and Magazzeni, D ", ,A,Computing Trace Alignment against Declarative Process Models through Planning," Giacomo, G. D.; Maggi, F. M.; Marrella, A.; and Sardina, S ",
,,, ,,,,
,Best Papers (Session 7): Plenary,, ,,,,
,Heuristic Search in Dual Space for Constrained Stochastic Shortest Path Problems," Trevizan, F.; Thiebaux, S.; Santana, P.; and Williams, B ", ,,,,
,Practical Undoability Checking via Contingent Planning," Daum, J.; Torralba, &#193;.; Hoffmann, J.; Haslum, P.; and Weber, I ", ,,,,
R,Multi-Agent Path Finding with Kinematic Contraints," Hoenig, W.; Kumar, T. K. S.; Cohen, L.; Ma, H.; Xu, H.; Ayanian, N.; and Koenig, S ", ,,,,
A,"Optimal Scheduling of a Constellation of Earth-Imaging Satellites, for Maximal Data Throughput and Efficient Human Management"," Augenstein, S.; Estanislao, A.; Guere, E.; and Blaes, S ", ,,,,
,,,,,,,
,Friday,,,,,,
,,, ,,,,
,Temporal and Numeric Planning (Session 8a),,,,Planning and Execution (Session 8b) ,,
Short J,Symbolic discrete-time planning with continuous numeric action parameters for agent-controlled processes,"Florian Pantke, Stefan Edelkamp, Otthein Herzog", ,Short J,A robot sets a table: a case for hybrid reasoning with different types of knowledge,Masoumeh Mansouri and Federico Pecora,
,Have I Been Here Before? State Memoization in Temporal Planning," Coles, A.; and Coles, A ", ,R,Integrating Planning and Control for Efficient Path Planning in the Presence of Environmental Disturbances," Aine, S.; and Pb, S ",
Short A,Planning Curtailment of Renewable Generation in Power Grids," Bandyopadhyay, S.; Kumar, P.; and Arya, V ", ,Short J,A Systematic Analysis of Levels of Integration between High-Level Task Planning and Low-Level Feasibility Checks,"Esra Erdem, Volkan Patoglu and Peter Sch&#252;ller",
A,Solving Realistic Unit Commitment Problems using Temporal Planning: Challenges and Solutions," Piacentini, C.; Magazzeni, D.; Long, D.; Fox, M.; and Dent, C ", ,R,A practical framework for robust decision-theoretic planning and execution for service robots," Iocchi, L.; Jeanpierre, L.; L&#225;zaro, M. T.; and Abdel-Illah, M ",
,,, ,,,,
,Search (Session 9a),, ,,Time and Uncertainty (Session 9b),,
,Search Portfolio with Sharing," Aine, S.; and Likhachev, M ", ,,Checking the Dynamic Consistency of Conditional Simple Temporal Networks with Bounded Reaction Times," Hunsberger, L.; and Posenato, R ",
,Efficient Representation of Pattern Databases Using Acyclic Random Hypergraphs," Sadeqi, M.; and Hamilton, H ", ,,"PARIS: a Polynomial-time, Risk-Sensitive Scheduling Algorithm for Probabilistic Simple Temporal Networks with Uncertainty"," Santana, P.; Vaquero, T.; Toledo, C.; Wang, A.; Fang, C.; and Williams, B ",
,Automated Creation of an Efficient Work Distribution Method for Parallel Best-First Search," Jinnai, Y.; and Fukunaga, A ", ,,Robust Partial Order Schedules for RCPSP/max with Durational Uncertainty," Fu, N.; Varakantham, P.; and Lau, H. C ",
,,, ,,,,
,Planning Effective Resource Placement (Session 10a),, ,,Scheduling (Session 10b),,
,Placement of Loading Stations for Electric Vehicles: Allowing Small Detours," Funke, S.; Nusser, A.; and Storandt, S ", ,,Online Algorithms for the Linear Tape Scheduling Problem," Cardonha, C.; and Real, L. V ",
A,Towards Next Generation Touring: Personalized Group Tours," Lim, K. H.; Chan, J.; Leckie, C.; and Karunasekera, S ", ,,The Mathematics of Dispatchability Revisited," Morris, P ",
A,"More Shuttles, Less Cost: Energy Efficient Planning for Scalable High-Density Warehouse Environments"," H&#252;tter, C ", ,Short J,Algebraic Differential Evolution Algorithm for the Permutation Flowshop Scheduling Problem with Total Flowtime Criterion,"Alfredo Milani, Valentino Santucci, Marco Baioletti",
,,, ,,,,
,POMDP/MDP (Session 11a),, ,,Complexity (Session 11b),,
,Dual Formulations for Optimizing Dec-POMDP Controllers," Kumar, A.; Mostafa, H.; and Zilberstein, S ", ,,Assessing the Expressivity of Planning Formalisms through the Comparison to Formal Languages," H&#246;ller, D.; Behnke, G.; Bercher, P.; and Biundo, S ",
,Optimal Cost Indefinite-Horizon Reachability in Goal DEC-POMDPs," Chatterjee, K.; and Chmel&#237;k, M ", ,,Change the Plan - How hard can that be?," Behnke, G.; H&#246;ller, D.; Bercher, P.; and Biundo, S ",
,Hierarchical Linearly-Solvable Markov Decision Problems," Jonsson, A.; and G&#243;mez, V ", ,,Bound to Plan: Exploiting Classical Heuristics via Automatic Translations of Tail-Recursive HTN Problems," Alford, R.; Behnke, G.; H&#246;ller, D.; Bercher, P.; Biundo, S.; and Aha, D ",
,Bayesian Optimization with Resource Constraints and Production," Dolatnia, N.; Fern, A.; and Fern, X ", ,,A Multi-parameter Complexity Analysis of Cost-optimal and Net-benefit Planning," Aghighi, M.; and B&#228;ckstr&#246;m, C ",
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
,,, ,,,,
